Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
ADAO MOURA TABOSA,ADAO TABOSA,Deputado Federal,Masculino,PPS,1,PDT / PPS,PDT,PPS,NA,NA,NA,NA,NA,Deferido,Superior completo,Outros,Outros,Casado(a),13-Aug-65,17,2378,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,41,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"indepentes (pps, pdt, pv)",PA,0.43,NA,33664,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,100
ADAO NUNES OWICKI,ADAO NUNES OWICKI,Deputado Federal,Masculino,PV,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,EmpresArio,Outros,Casado(a),29-Aug-57,31,4303,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,49,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"indepentes (pps, pdt, pv)",RS,0.18,NA,100057,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ADAO PRETTO,ADAO PRETTO,Deputado Federal,Masculino,PT,0,PT / PC do B,PT,PC do B,NA,NA,NA,NA,NA,Deferido,LE e escreve,Deputado,Outros,Casado(a),18-Dec-45,31,1355,NAo,NA,NA,NAo,Sim,NAo,NAo,NAo,NAo,SI,NAo,NAo,60,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,SI,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RS,0.18,86949,70491,0,Sim,Sim,NAo Participou,NAo Participou,0,Nao,Sim,NAo,NAo,0,86949,21,5,20.61,0.43,0.65,93759.19
ADAO SILVA DOS REIS,ADAO COXA,Deputado Federal,Masculino,PSB,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental incompleto,Aposentado (Exceto Servidor PUblico),Outros,Casado(a),26-Jul-55,31,4013,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RS,0.18,NA,108430,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,19904
ADAO TIMOTEO DE LIMA,ADAO LIMA,Deputado Federal,Masculino,PSB,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,EmpresArio,Outros,Casado(a),6-Sep-58,70,4016,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,75365,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,44935
ADAUTO VILAS BOAS CONDE,VILAS BOAS,Deputado Federal,Masculino,PSDC,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Solteiro(a),12-Jun-43,70,2702,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,63,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,52363,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
ADEILTON ALBERTO PEREIRA,CHORAO,Deputado Federal,Masculino,PL,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,MUsico,Outros,Solteiro(a),6-Feb-80,70,2202,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,26,NAo,NA,NAo,NA,NA,21 a 30 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",SP,0.14,NA,51786,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ADELAIDE MENEZES DA SILVA RIBEIRO,PROFESSORA ADELAIDE,Deputado Federal,Feminino,PSDB,1,PP / PMDB / PHS / PMN / PSDB / PT do B,PP,PMDB,PHS,PMN,PSDB,PT do B,NA,Deferido,Superior completo,Servidor PUblico Federal,Outros,Casado(a),21-Apr-60,8,4540,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"oposiCAo (pfl, psdb)",RO,0.33,NA,134643,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,1331
ADELAR BITHENCOURT ROZIN,ADELAR BITHENCOURT ROZIN,Deputado Federal,Masculino,PSOL,0,PCB / PSOL,PCB,PSOL,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),22-Feb-72,31,5055,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,34,NAo,NA,NAo,NA,NA,31 a 40 anos,Sul,NA,pequenos partidos,RS,0.18,NA,205286,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
ADELCIMAR MENEZES,BISPO CIMAR MENEZES,Deputado Federal,Masculino,PL,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,Outros,Outros,Casado(a),30-Jan-57,46,2225,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,49,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",RJ,0.17,NA,35681,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
